artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Đen,Ngày Lang Thang - Solo Version,6uUWkFKG9Ypmk3rNtU6yqA,spotify:track:6uUWkFKG9Ypmk3rNtU6yqA,https://api.spotify.com/v1/tracks/6uUWkFKG9Ypmk3rNtU6yqA,https://api.spotify.com/v1/audio-analysis/6uUWkFKG9Ypmk3rNtU6yqA,41,0.674,0.753,0,-7.122999999999998,1,0.18,0.534,0.0,0.125,0.7020000000000001,89.895,240000,4,1
Phương Thanh,Xa Rồi Mùa Đông,0aCwBIKdWWDO5qagqGth8H,spotify:track:0aCwBIKdWWDO5qagqGth8H,https://api.spotify.com/v1/tracks/0aCwBIKdWWDO5qagqGth8H,https://api.spotify.com/v1/audio-analysis/0aCwBIKdWWDO5qagqGth8H,9,0.56,0.516,2,-8.066,0,0.0264,0.414,2.33e-05,0.122,0.317,126.00299999999999,324415,4,0
Ngoc Son,Tình Cha,0lhQ5qMZvCaDQK2sy9hPrs,spotify:track:0lhQ5qMZvCaDQK2sy9hPrs,https://api.spotify.com/v1/tracks/0lhQ5qMZvCaDQK2sy9hPrs,https://api.spotify.com/v1/audio-analysis/0lhQ5qMZvCaDQK2sy9hPrs,0,0.514,0.384,11,-9.915,0,0.0261,0.47,1.04e-06,0.0704,0.13699999999999998,95.786,338495,3,0
Đen and Thành Đồng and Vũ.,Anh Đếch Cần Gì Nhiều Ngoài Em,7GxSshyjKx46dlIV2UoVrc,spotify:track:7GxSshyjKx46dlIV2UoVrc,https://api.spotify.com/v1/tracks/7GxSshyjKx46dlIV2UoVrc,https://api.spotify.com/v1/audio-analysis/7GxSshyjKx46dlIV2UoVrc,50,0.82,0.276,6,-9.715,0,0.0418,0.85,0.0,0.124,0.332,97.39,217134,3,1
Đen,Nhiều Năm Nữa - Live At Show Của Đen,14Pfh8Z2JpjwjavMYGZw9M,spotify:track:14Pfh8Z2JpjwjavMYGZw9M,https://api.spotify.com/v1/tracks/14Pfh8Z2JpjwjavMYGZw9M,https://api.spotify.com/v1/audio-analysis/14Pfh8Z2JpjwjavMYGZw9M,40,0.718,0.917,8,-5.046,1,0.236,0.155,0.0,0.0733,0.779,90.025,199552,4,1
Đen and Giang Pham and Triple D,Ngày Khác Lạ,5HK1vERAqCVgCWyRQBClAv,spotify:track:5HK1vERAqCVgCWyRQBClAv,https://api.spotify.com/v1/tracks/5HK1vERAqCVgCWyRQBClAv,https://api.spotify.com/v1/audio-analysis/5HK1vERAqCVgCWyRQBClAv,43,0.653,0.782,1,-3.588,0,0.0427,0.0987,0.0,0.115,0.25,137.959,212174,4,1
Đen,Đố em biết anh đang nghĩ gì - Live At Show Của Đen,1oDaI6OOKaVqEn6H8bgaRo,spotify:track:1oDaI6OOKaVqEn6H8bgaRo,https://api.spotify.com/v1/tracks/1oDaI6OOKaVqEn6H8bgaRo,https://api.spotify.com/v1/audio-analysis/1oDaI6OOKaVqEn6H8bgaRo,40,0.503,0.895,11,-4.549,0,0.214,0.284,0.0,0.399,0.415,186.536,275499,4,1
Hoang Ton,Để Em Rời Xa,455wHKCH02uM8gmOjrIO4T,spotify:track:455wHKCH02uM8gmOjrIO4T,https://api.spotify.com/v1/tracks/455wHKCH02uM8gmOjrIO4T,https://api.spotify.com/v1/audio-analysis/455wHKCH02uM8gmOjrIO4T,8,0.45899999999999996,0.41,1,-8.437999999999999,0,0.0376,0.7559999999999999,0.0,0.168,0.203,79.813,196559,4,0
Hồ Ngọc Hà,Giac Mo Chi La Giac Mo,2UsTwA22zxwLVlo3GTgTeA,spotify:track:2UsTwA22zxwLVlo3GTgTeA,https://api.spotify.com/v1/tracks/2UsTwA22zxwLVlo3GTgTeA,https://api.spotify.com/v1/audio-analysis/2UsTwA22zxwLVlo3GTgTeA,33,0.44299999999999995,0.34600000000000003,2,-9.138,0,0.0272,0.723,0.0,0.147,0.209,137.839,273640,4,0
RAP VIỆT and Yang,Chắc Chắn Rap Việt Là Đây (feat. Yang),7ktYIlqQTkc5Pwzg6A5wjK,spotify:track:7ktYIlqQTkc5Pwzg6A5wjK,https://api.spotify.com/v1/tracks/7ktYIlqQTkc5Pwzg6A5wjK,https://api.spotify.com/v1/audio-analysis/7ktYIlqQTkc5Pwzg6A5wjK,19,0.763,0.909,7,-2.525,1,0.252,0.159,0.0,0.355,0.46,89.985,165333,4,0
RAP VIỆT and Ricky Star,Con Nhà Người Ta (feat. Ricky Star),2PsDFHnuQAHL3fiqMp2Xaw,spotify:track:2PsDFHnuQAHL3fiqMp2Xaw,https://api.spotify.com/v1/tracks/2PsDFHnuQAHL3fiqMp2Xaw,https://api.spotify.com/v1/audio-analysis/2PsDFHnuQAHL3fiqMp2Xaw,34,0.8320000000000001,0.715,7,-7.547000000000001,1,0.263,0.027000000000000003,0.0,0.258,0.718,123.93700000000001,213962,4,0
Quang Le and Lam Anh,Sao Anh No Danh Quen,7p4AqCpWOAVZTbV61XKnZW,spotify:track:7p4AqCpWOAVZTbV61XKnZW,https://api.spotify.com/v1/tracks/7p4AqCpWOAVZTbV61XKnZW,https://api.spotify.com/v1/audio-analysis/7p4AqCpWOAVZTbV61XKnZW,0,0.439,0.52,2,-7.09,1,0.0307,0.622,2.29e-06,0.254,0.502,79.935,250215,4,0
Đen and MTV band,Trốn Tìm,34uOIsoy6ETS2sxOTWBRDF,spotify:track:34uOIsoy6ETS2sxOTWBRDF,https://api.spotify.com/v1/tracks/34uOIsoy6ETS2sxOTWBRDF,https://api.spotify.com/v1/audio-analysis/34uOIsoy6ETS2sxOTWBRDF,56,0.7709999999999999,0.287,9,-17.208,0,0.07200000000000001,0.669,0.0,0.104,0.402,93.041,248871,4,1
MONSTAR,Và Tôi Hát,5bwkC04RHXHnl3VpZjsVuU,spotify:track:5bwkC04RHXHnl3VpZjsVuU,https://api.spotify.com/v1/tracks/5bwkC04RHXHnl3VpZjsVuU,https://api.spotify.com/v1/audio-analysis/5bwkC04RHXHnl3VpZjsVuU,22,0.82,0.9420000000000001,11,-3.659,1,0.18,0.11199999999999999,0.0,0.0682,0.902,137.969,191304,4,0
Lam Truong,Người yêu hỡi,7JQQ0xtHBzXuASC649lOgW,spotify:track:7JQQ0xtHBzXuASC649lOgW,https://api.spotify.com/v1/tracks/7JQQ0xtHBzXuASC649lOgW,https://api.spotify.com/v1/audio-analysis/7JQQ0xtHBzXuASC649lOgW,0,0.607,0.8079999999999999,6,-14.767000000000001,1,0.0968,0.0282,0.0,0.077,0.381,99.03299999999999,259293,4,0
Hoang Thuy Linh,Em Day Chang Phai Thuy Kieu,031jyNUkkD02vrkgZDGJxu,spotify:track:031jyNUkkD02vrkgZDGJxu,https://api.spotify.com/v1/tracks/031jyNUkkD02vrkgZDGJxu,https://api.spotify.com/v1/audio-analysis/031jyNUkkD02vrkgZDGJxu,45,0.6659999999999999,0.49200000000000005,7,-8.214,0,0.0504,0.6809999999999999,0.00436,0.131,0.6829999999999999,87.99600000000001,214500,4,0
Đen and JustaTee and Biên,Đố em biết anh đang nghĩ gì,7abJKdWP25uct1mcCrWNZw,spotify:track:7abJKdWP25uct1mcCrWNZw,https://api.spotify.com/v1/tracks/7abJKdWP25uct1mcCrWNZw,https://api.spotify.com/v1/audio-analysis/7abJKdWP25uct1mcCrWNZw,42,0.6,0.445,4,-12.119000000000002,0,0.472,0.7390000000000001,0.0,0.0829,0.564,180.044,246236,4,1
Đen and MIN,Bài Này Chill Phết,2AiZm17zqkV7llT3SHz4Nu,spotify:track:2AiZm17zqkV7llT3SHz4Nu,https://api.spotify.com/v1/tracks/2AiZm17zqkV7llT3SHz4Nu,https://api.spotify.com/v1/audio-analysis/2AiZm17zqkV7llT3SHz4Nu,55,0.789,0.488,9,-5.662000000000001,0,0.297,0.32,0.0,0.0847,0.29,159.986,276001,4,1
Lam Truong,Lời của gió,3tEeV0IgTRt7xAKnAMNanz,spotify:track:3tEeV0IgTRt7xAKnAMNanz,https://api.spotify.com/v1/tracks/3tEeV0IgTRt7xAKnAMNanz,https://api.spotify.com/v1/audio-analysis/3tEeV0IgTRt7xAKnAMNanz,3,0.7120000000000001,0.515,2,-11.542,0,0.0437,0.132,4.8899999999999996e-05,0.0743,0.563,110.027,329293,4,0
Đen and Giang Nguyễn,Đi Theo Bóng Mặt Trời,0g1lSO4QxUCoxpVp0xvDmD,spotify:track:0g1lSO4QxUCoxpVp0xvDmD,https://api.spotify.com/v1/tracks/0g1lSO4QxUCoxpVp0xvDmD,https://api.spotify.com/v1/audio-analysis/0g1lSO4QxUCoxpVp0xvDmD,46,0.687,0.495,9,-10.036,1,0.345,0.754,0.0,0.251,0.51,77.407,162102,4,1
Đàm Vĩnh Hưng,Xin Lỗi Tình Yêu,7g5uYihWZZ9cd0sd70pAPC,spotify:track:7g5uYihWZZ9cd0sd70pAPC,https://api.spotify.com/v1/tracks/7g5uYihWZZ9cd0sd70pAPC,https://api.spotify.com/v1/audio-analysis/7g5uYihWZZ9cd0sd70pAPC,0,0.611,0.629,9,-7.399,0,0.0276,0.57,1.75e-06,0.361,0.295,99.134,321019,3,0
RAP VIỆT and Yuno Bigboi,Dám Hay Không Dám (feat. Yuno Bigboi),3UsV7jk1VF7kUGCMmN18ts,spotify:track:3UsV7jk1VF7kUGCMmN18ts,https://api.spotify.com/v1/tracks/3UsV7jk1VF7kUGCMmN18ts,https://api.spotify.com/v1/audio-analysis/3UsV7jk1VF7kUGCMmN18ts,31,0.9059999999999999,0.907,8,-2.915,1,0.212,0.28600000000000003,0.0017100000000000001,0.598,0.39399999999999996,100.039,154453,4,0
Đen and Lynk Lee,Cô gái bàn bên,3pIlrW2AodAg75pnAoCNhl,spotify:track:3pIlrW2AodAg75pnAoCNhl,https://api.spotify.com/v1/tracks/3pIlrW2AodAg75pnAoCNhl,https://api.spotify.com/v1/audio-analysis/3pIlrW2AodAg75pnAoCNhl,44,0.6829999999999999,0.541,10,-7.987,1,0.29100000000000004,0.858,0.0,0.0888,0.423,120.135,198119,4,1
Doãn Hiếu and B Entertainment,Bao Lâu Ta Lại Yêu Một Người,2KPmisfkIZlWm1N4Ni4HpB,spotify:track:2KPmisfkIZlWm1N4Ni4HpB,https://api.spotify.com/v1/tracks/2KPmisfkIZlWm1N4Ni4HpB,https://api.spotify.com/v1/audio-analysis/2KPmisfkIZlWm1N4Ni4HpB,35,0.7659999999999999,0.377,0,-8.482999999999999,1,0.0323,0.816,5.68e-05,0.136,0.415,101.98100000000001,230588,4,0
Suni Hạ Linh and Soobin Hoang Son,Một Ngày Rất Khác,67s6PE9F8WkRMWJdTsYuEG,spotify:track:67s6PE9F8WkRMWJdTsYuEG,https://api.spotify.com/v1/tracks/67s6PE9F8WkRMWJdTsYuEG,https://api.spotify.com/v1/audio-analysis/67s6PE9F8WkRMWJdTsYuEG,25,0.82,0.662,1,-6.688,1,0.0461,0.254,0.0,0.107,0.927,101.95299999999999,195940,4,0
Trang,Nếu Anh Cần Tôi,3pSsZeyISzQZiAUeHkXlQS,spotify:track:3pSsZeyISzQZiAUeHkXlQS,https://api.spotify.com/v1/tracks/3pSsZeyISzQZiAUeHkXlQS,https://api.spotify.com/v1/audio-analysis/3pSsZeyISzQZiAUeHkXlQS,0,0.511,0.314,0,-9.012,1,0.034,0.732,0.000301,0.12,0.33,120.008,276000,4,0
Sơn Tùng M-TP,Manh Ghep da Vo,5IT3Er11fnZI3h4fmsXwkF,spotify:track:5IT3Er11fnZI3h4fmsXwkF,https://api.spotify.com/v1/tracks/5IT3Er11fnZI3h4fmsXwkF,https://api.spotify.com/v1/audio-analysis/5IT3Er11fnZI3h4fmsXwkF,0,0.57,0.5539999999999999,1,-6.021,1,0.0228,0.568,0.0,0.10099999999999999,0.312,95.58200000000001,279838,4,0
Đen,hai triệu năm - Live At Show Của Đen,0ROEej67C7sB3bk6SnBiEE,spotify:track:0ROEej67C7sB3bk6SnBiEE,https://api.spotify.com/v1/tracks/0ROEej67C7sB3bk6SnBiEE,https://api.spotify.com/v1/audio-analysis/0ROEej67C7sB3bk6SnBiEE,40,0.7040000000000001,0.68,9,-6.837999999999999,1,0.0531,0.531,0.0,0.32,0.336,101.971,298197,4,1
Tuấn Hưng,Hối Hận Trong Anh,1GcibaT8Lzv58xSydU1FgF,spotify:track:1GcibaT8Lzv58xSydU1FgF,https://api.spotify.com/v1/tracks/1GcibaT8Lzv58xSydU1FgF,https://api.spotify.com/v1/audio-analysis/1GcibaT8Lzv58xSydU1FgF,0,0.606,0.22399999999999998,11,-15.014000000000001,0,0.0332,0.77,0.0,0.133,0.191,120.065,280085,4,0
Đen,Trời hôm nay nhiều mây cực!,703QXwWn5KdNaoviarYHAO,spotify:track:703QXwWn5KdNaoviarYHAO,https://api.spotify.com/v1/tracks/703QXwWn5KdNaoviarYHAO,https://api.spotify.com/v1/audio-analysis/703QXwWn5KdNaoviarYHAO,51,0.775,0.828,8,-5.351,0,0.17800000000000002,0.6829999999999999,0.000438,0.139,0.7390000000000001,74.976,252600,4,1
Tăng Phúc,Kí Ức Vpop 6,3pb0MIDSlYpY84CkHqk9Vn,spotify:track:3pb0MIDSlYpY84CkHqk9Vn,https://api.spotify.com/v1/tracks/3pb0MIDSlYpY84CkHqk9Vn,https://api.spotify.com/v1/audio-analysis/3pb0MIDSlYpY84CkHqk9Vn,13,0.522,0.262,11,-10.04,0,0.0404,0.8590000000000001,0.0,0.115,0.239,123.71,840151,4,0
Đen and Ngọt,Cho Toi Lang Thang - Live At Show Của Đen,2ncglJOFf6z2LVAV0KAvge,spotify:track:2ncglJOFf6z2LVAV0KAvge,https://api.spotify.com/v1/tracks/2ncglJOFf6z2LVAV0KAvge,https://api.spotify.com/v1/audio-analysis/2ncglJOFf6z2LVAV0KAvge,40,0.483,0.833,8,-3.5980000000000003,1,0.126,0.196,0.0,0.0979,0.499,175.93400000000003,272133,4,1
W/N and Duongg and Nau,3 1 0 7 - 2 (feat. W/N & Nau),2PYDUM2IC01FOTDLQdFxJP,spotify:track:2PYDUM2IC01FOTDLQdFxJP,https://api.spotify.com/v1/tracks/2PYDUM2IC01FOTDLQdFxJP,https://api.spotify.com/v1/audio-analysis/2PYDUM2IC01FOTDLQdFxJP,57,0.738,0.42200000000000004,5,-9.76,1,0.0365,0.851,0.0011099999999999999,0.7120000000000001,0.315,122.071,268525,4,0
Đen and Linh Cáo,Ta Cứ Đi Cùng Nhau - Live At Show Của Đen,2mqEoZUVNajcSnNJPEBBfu,spotify:track:2mqEoZUVNajcSnNJPEBBfu,https://api.spotify.com/v1/tracks/2mqEoZUVNajcSnNJPEBBfu,https://api.spotify.com/v1/audio-analysis/2mqEoZUVNajcSnNJPEBBfu,39,0.649,0.8959999999999999,7,-6.222,0,0.0668,0.26,1.34e-06,0.434,0.297,106.011,346627,4,1
Đàm Vĩnh Hưng,Người Tình Trăm Năm,4ybLeW8jaPo859kcn5jBQ1,spotify:track:4ybLeW8jaPo859kcn5jBQ1,https://api.spotify.com/v1/tracks/4ybLeW8jaPo859kcn5jBQ1,https://api.spotify.com/v1/audio-analysis/4ybLeW8jaPo859kcn5jBQ1,14,0.652,0.794,6,-8.718,0,0.0744,0.0373,1.89e-05,0.141,0.821,180.109,282355,4,0
Tuấn Hưng,Đốt Chút Lá Khô,4uSlznSwimxZeY5greUPQ0,spotify:track:4uSlznSwimxZeY5greUPQ0,https://api.spotify.com/v1/tracks/4uSlznSwimxZeY5greUPQ0,https://api.spotify.com/v1/audio-analysis/4uSlznSwimxZeY5greUPQ0,19,0.44799999999999995,0.7290000000000001,2,-5.244,0,0.0332,0.228,0.0,0.151,0.268,139.98,306625,4,0
Ji Yeon and Soobin Hoang Son,Đẹp Nhất Là Em(Between us),77agb6K1CMrwvTpC4k03Fm,spotify:track:77agb6K1CMrwvTpC4k03Fm,https://api.spotify.com/v1/tracks/77agb6K1CMrwvTpC4k03Fm,https://api.spotify.com/v1/audio-analysis/77agb6K1CMrwvTpC4k03Fm,33,0.687,0.561,0,-4.853,1,0.0306,0.40700000000000003,1.13e-06,0.153,0.5820000000000001,90.005,186699,4,0
Đen and Thành Đồng,một triệu like,3ESeHjnPRxAg4mW3KsFyXi,spotify:track:3ESeHjnPRxAg4mW3KsFyXi,https://api.spotify.com/v1/tracks/3ESeHjnPRxAg4mW3KsFyXi,https://api.spotify.com/v1/audio-analysis/3ESeHjnPRxAg4mW3KsFyXi,50,0.861,0.591,7,-5.319,0,0.213,0.6,1.46e-05,0.062,0.52,78.977,264000,4,1
Jimmi Nguyen,Trái Tim Biết Khóc,2zpQRaDAun0RYzrw9snbgI,spotify:track:2zpQRaDAun0RYzrw9snbgI,https://api.spotify.com/v1/tracks/2zpQRaDAun0RYzrw9snbgI,https://api.spotify.com/v1/audio-analysis/2zpQRaDAun0RYzrw9snbgI,0,0.662,0.309,9,-12.865,0,0.0337,0.677,0.0,0.136,0.214,121.956,234789,4,0
Phan Mạnh Quỳnh,Lời Từ Trái Tim Anh,1IQHFPXjywb9SwJ1uhsmHI,spotify:track:1IQHFPXjywb9SwJ1uhsmHI,https://api.spotify.com/v1/tracks/1IQHFPXjywb9SwJ1uhsmHI,https://api.spotify.com/v1/audio-analysis/1IQHFPXjywb9SwJ1uhsmHI,0,0.504,0.5539999999999999,1,-8.048,1,0.034,0.8009999999999999,2.35e-06,0.32899999999999996,0.35,165.791,241528,3,0
Đan Trường,Dòng Đời Trôi Mãi,0LCdy6CY0MwpQbHo7tC1h2,spotify:track:0LCdy6CY0MwpQbHo7tC1h2,https://api.spotify.com/v1/tracks/0LCdy6CY0MwpQbHo7tC1h2,https://api.spotify.com/v1/audio-analysis/0LCdy6CY0MwpQbHo7tC1h2,0,0.569,0.426,0,-7.809,1,0.0301,0.316,0.0,0.092,0.192,108.042,303386,4,0
