artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Đen,Lộn Xộn 2,6nzmVDR2jqqIv4WQRFWB0n,spotify:track:6nzmVDR2jqqIv4WQRFWB0n,https://api.spotify.com/v1/tracks/6nzmVDR2jqqIv4WQRFWB0n,https://api.spotify.com/v1/audio-analysis/6nzmVDR2jqqIv4WQRFWB0n,41,0.912,0.636,2,-7.157,1,0.358,0.816,2.29e-05,0.109,0.48,91.012,217256,4,1
Đen and Ngọc Linh,Mười Năm (Lộn Xộn 3),1LXX0v5Nk5YR6gip7WL7g1,spotify:track:1LXX0v5Nk5YR6gip7WL7g1,https://api.spotify.com/v1/tracks/1LXX0v5Nk5YR6gip7WL7g1,https://api.spotify.com/v1/audio-analysis/1LXX0v5Nk5YR6gip7WL7g1,48,0.7240000000000001,0.674,1,-5.751,0,0.123,0.649,0.349,0.201,0.17,89.963,257560,4,1
RAP VIỆT and Binz and JustaTee and Karik and Rhymastic and Suboi and Wowy,"Đây Là Rap Việt (feat. Wowy, Karik, Suboi, Binz, Rhymastic & JustaTee)",3nHbNyuUsVmtwHAcpeOrZR,spotify:track:3nHbNyuUsVmtwHAcpeOrZR,https://api.spotify.com/v1/tracks/3nHbNyuUsVmtwHAcpeOrZR,https://api.spotify.com/v1/audio-analysis/3nHbNyuUsVmtwHAcpeOrZR,42,0.769,0.79,8,-3.0869999999999997,1,0.28600000000000003,0.6809999999999999,0.0,0.387,0.7709999999999999,144.984,180600,4,0
Cẩm Ly,Vương Vấn Tình Xưa,76UIqxbOcf1PaVFbs4PEH4,spotify:track:76UIqxbOcf1PaVFbs4PEH4,https://api.spotify.com/v1/tracks/76UIqxbOcf1PaVFbs4PEH4,https://api.spotify.com/v1/audio-analysis/76UIqxbOcf1PaVFbs4PEH4,1,0.614,0.28800000000000003,2,-12.21,1,0.0316,0.7709999999999999,9.35e-06,0.102,0.18100000000000002,96.781,258508,4,0
Quang Trung,Minh Yeu Nhau Tu Kiep Nao ? - Original,72Gu8ceNV9sBq2nYibS6rL,spotify:track:72Gu8ceNV9sBq2nYibS6rL,https://api.spotify.com/v1/tracks/72Gu8ceNV9sBq2nYibS6rL,https://api.spotify.com/v1/audio-analysis/72Gu8ceNV9sBq2nYibS6rL,41,0.335,0.326,0,-7.09,0,0.033,0.8959999999999999,5.7600000000000004e-05,0.12,0.41,92.39299999999999,325056,3,0
Andiez,Suýt Nữa Thì,23zwIyB2kh1hMKBhs7edPJ,spotify:track:23zwIyB2kh1hMKBhs7edPJ,https://api.spotify.com/v1/tracks/23zwIyB2kh1hMKBhs7edPJ,https://api.spotify.com/v1/audio-analysis/23zwIyB2kh1hMKBhs7edPJ,48,0.5479999999999999,0.41200000000000003,1,-8.154,1,0.028999999999999998,0.847,0.0,0.128,0.418,132.019,283392,4,0
Đan Trường,Thà Người Đừng Nói,7wc59M1j4F0ZRPgIk0K2GO,spotify:track:7wc59M1j4F0ZRPgIk0K2GO,https://api.spotify.com/v1/tracks/7wc59M1j4F0ZRPgIk0K2GO,https://api.spotify.com/v1/audio-analysis/7wc59M1j4F0ZRPgIk0K2GO,0,0.772,0.307,11,-11.259,0,0.0425,0.168,3.86e-05,0.14800000000000002,0.21,124.1,289855,4,0
Đen and Kimmese and Lynk Lee,Rapcoustic 5,7unqgXVmp0iFt6ZW465opZ,spotify:track:7unqgXVmp0iFt6ZW465opZ,https://api.spotify.com/v1/tracks/7unqgXVmp0iFt6ZW465opZ,https://api.spotify.com/v1/audio-analysis/7unqgXVmp0iFt6ZW465opZ,0,0.6409999999999999,0.536,0,-6.63,1,0.32299999999999995,0.8320000000000001,0.0,0.147,0.613,143.863,547154,4,1
Đen and Emcee L (Da LAB) and JGKiD (Da LAB),Dưới Hiên Nhà,6683Q1DAKo7rxcULAVL0gJ,spotify:track:6683Q1DAKo7rxcULAVL0gJ,https://api.spotify.com/v1/tracks/6683Q1DAKo7rxcULAVL0gJ,https://api.spotify.com/v1/audio-analysis/6683Q1DAKo7rxcULAVL0gJ,40,0.338,0.542,3,-7.1960000000000015,1,0.0356,0.621,0.0,0.223,0.5760000000000001,98.963,277311,4,1
Lam Truong,Gót Hồng,1zY6hgDazW86WOuOpDgA43,spotify:track:1zY6hgDazW86WOuOpDgA43,https://api.spotify.com/v1/tracks/1zY6hgDazW86WOuOpDgA43,https://api.spotify.com/v1/audio-analysis/1zY6hgDazW86WOuOpDgA43,23,0.657,0.502,9,-12.607000000000001,1,0.0349,0.299,0.000491,0.0972,0.474,95.01700000000001,288444,4,0
Nguyễn Thắng,Tình Đã Nhạt Mờ,3luq1T3MSg6ZEkgSXUeF1j,spotify:track:3luq1T3MSg6ZEkgSXUeF1j,https://api.spotify.com/v1/tracks/3luq1T3MSg6ZEkgSXUeF1j,https://api.spotify.com/v1/audio-analysis/3luq1T3MSg6ZEkgSXUeF1j,10,0.562,0.667,6,-5.8420000000000005,0,0.0318,0.0614,0.0,0.113,0.177,130.9,265747,4,0
Đen,Đi Theo Bóng Mặt Trời - Live At Show Của Đen,3vrtrHN8QFUdGheMzPs8j3,spotify:track:3vrtrHN8QFUdGheMzPs8j3,https://api.spotify.com/v1/tracks/3vrtrHN8QFUdGheMzPs8j3,https://api.spotify.com/v1/audio-analysis/3vrtrHN8QFUdGheMzPs8j3,39,0.703,0.767,11,-4.126,0,0.257,0.024,0.0,0.13,0.44,156.07299999999995,236096,4,1
Đen and Ngọc Linh,Mười Năm - Live At Show Của Đen,2H5XRciniz2nQ0jhaZJcd9,spotify:track:2H5XRciniz2nQ0jhaZJcd9,https://api.spotify.com/v1/tracks/2H5XRciniz2nQ0jhaZJcd9,https://api.spotify.com/v1/audio-analysis/2H5XRciniz2nQ0jhaZJcd9,42,0.617,0.904,1,-6.2970000000000015,0,0.163,0.196,0.0,0.151,0.328,90.0,285060,4,1
Đen and Linh Cáo,Ta Cứ Đi Cùng Nhau,0cuVWvlDAn6IErlvsZYKZf,spotify:track:0cuVWvlDAn6IErlvsZYKZf,https://api.spotify.com/v1/tracks/0cuVWvlDAn6IErlvsZYKZf,https://api.spotify.com/v1/audio-analysis/0cuVWvlDAn6IErlvsZYKZf,45,0.628,0.6709999999999999,7,-5.385,0,0.0309,0.722,1.1e-06,0.737,0.0989,105.967,345820,4,1
Nini and Thùy Vân and Vina Uyển My,Tình em trao anh,14uTnKBIXQj6Xx0Iu7XkwD,spotify:track:14uTnKBIXQj6Xx0Iu7XkwD,https://api.spotify.com/v1/tracks/14uTnKBIXQj6Xx0Iu7XkwD,https://api.spotify.com/v1/audio-analysis/14uTnKBIXQj6Xx0Iu7XkwD,3,0.5579999999999999,0.637,7,-11.585999999999999,0,0.0318,0.29600000000000004,0.00979,0.0256,0.927,172.84400000000002,288333,4,0
JayKii and Sara Lưu,Đừng Như Thói Quen,1egSj83G00A1G4rlRp6IyK,spotify:track:1egSj83G00A1G4rlRp6IyK,https://api.spotify.com/v1/tracks/1egSj83G00A1G4rlRp6IyK,https://api.spotify.com/v1/audio-analysis/1egSj83G00A1G4rlRp6IyK,39,0.613,0.321,10,-9.119,0,0.03,0.778,0.0,0.131,0.175,114.99600000000001,266196,4,0
Đen and Hậu Vi,Mơ,3mMAxli9HDnNdDjaTlDyJg,spotify:track:3mMAxli9HDnNdDjaTlDyJg,https://api.spotify.com/v1/tracks/3mMAxli9HDnNdDjaTlDyJg,https://api.spotify.com/v1/audio-analysis/3mMAxli9HDnNdDjaTlDyJg,43,0.4,0.624,9,-10.513,1,0.33,0.6809999999999999,0.00033,0.0517,0.487,84.41799999999998,225879,4,1
Đen,Bài Này Chill Phết - Live At Show Của Đen,6ztkb5MiGLM6TqodbVDGTE,spotify:track:6ztkb5MiGLM6TqodbVDGTE,https://api.spotify.com/v1/tracks/6ztkb5MiGLM6TqodbVDGTE,https://api.spotify.com/v1/audio-analysis/6ztkb5MiGLM6TqodbVDGTE,39,0.61,0.895,9,-3.554,0,0.0989,0.29100000000000004,0.0,0.211,0.502,160.547,294768,4,1
Đan Trường and Cẩm Ly,Lạc Bước Tình Yêu,1AgWYveVlMFdN5My2r6Y6h,spotify:track:1AgWYveVlMFdN5My2r6Y6h,https://api.spotify.com/v1/tracks/1AgWYveVlMFdN5My2r6Y6h,https://api.spotify.com/v1/audio-analysis/1AgWYveVlMFdN5My2r6Y6h,0,0.6709999999999999,0.611,6,-4.887,1,0.0265,0.496,0.0,0.171,0.517,113.98899999999999,262139,4,0
Đen and Phương Anh Đào,Lối Nhỏ,22F7P7QnaVspdf5rKveBaS,spotify:track:22F7P7QnaVspdf5rKveBaS,https://api.spotify.com/v1/tracks/22F7P7QnaVspdf5rKveBaS,https://api.spotify.com/v1/audio-analysis/22F7P7QnaVspdf5rKveBaS,1,0.634,0.476,4,-7.713999999999999,0,0.0393,0.84,0.00013700000000000002,0.079,0.425,184.061,252953,4,1
Đan Trường and Mỹ Lệ,Bước Chân Tình Xa,3L6MsIoOjWzb0dqgkkI0OL,spotify:track:3L6MsIoOjWzb0dqgkkI0OL,https://api.spotify.com/v1/tracks/3L6MsIoOjWzb0dqgkkI0OL,https://api.spotify.com/v1/audio-analysis/3L6MsIoOjWzb0dqgkkI0OL,0,0.759,0.5329999999999999,0,-7.888999999999999,1,0.0313,0.295,0.000701,0.307,0.408,108.054,334054,4,0
Đen and Lynk Lee,Đừng Gọi Anh Là Idol,1sn24gM7ifkeH0005USdLH,spotify:track:1sn24gM7ifkeH0005USdLH,https://api.spotify.com/v1/tracks/1sn24gM7ifkeH0005USdLH,https://api.spotify.com/v1/audio-analysis/1sn24gM7ifkeH0005USdLH,40,0.716,0.545,2,-10.319,0,0.275,0.732,0.0,0.0492,0.568,89.95299999999997,261347,4,1
RAP VIỆT and 2Can,BÀI NÀY VUI PHẾT (feat. 2Can),3GiFQj3f6iWfeMIIi58sxY,spotify:track:3GiFQj3f6iWfeMIIi58sxY,https://api.spotify.com/v1/tracks/3GiFQj3f6iWfeMIIi58sxY,https://api.spotify.com/v1/audio-analysis/3GiFQj3f6iWfeMIIi58sxY,0,0.828,0.657,9,-6.306,0,0.0699,0.151,0.0,0.0899,0.541,112.99799999999999,191681,4,0
RAP VIỆT and Seachains,CẢM NHẬN (feat. Seachains),2sUJxpZyYIAtJjy4ptfTK2,spotify:track:2sUJxpZyYIAtJjy4ptfTK2,https://api.spotify.com/v1/tracks/2sUJxpZyYIAtJjy4ptfTK2,https://api.spotify.com/v1/audio-analysis/2sUJxpZyYIAtJjy4ptfTK2,52,0.596,0.868,0,-4.749,1,0.10099999999999999,0.0667,0.0,0.11,0.45,150.028,177685,4,0
Đen,Trời Ơi Con Chưa Muốn Chết - Live At Show Của Đen,0ehr6CI3E8cCBdqbWCyWEV,spotify:track:0ehr6CI3E8cCBdqbWCyWEV,https://api.spotify.com/v1/tracks/0ehr6CI3E8cCBdqbWCyWEV,https://api.spotify.com/v1/audio-analysis/0ehr6CI3E8cCBdqbWCyWEV,38,0.696,0.893,6,-4.675,0,0.132,0.205,0.0,0.136,0.8240000000000001,85.965,198400,4,1
Đan Trường,Tình Mênh Mang,5nyvGAj9TkPiqaagzdl3d6,spotify:track:5nyvGAj9TkPiqaagzdl3d6,https://api.spotify.com/v1/tracks/5nyvGAj9TkPiqaagzdl3d6,https://api.spotify.com/v1/audio-analysis/5nyvGAj9TkPiqaagzdl3d6,0,0.636,0.8109999999999999,9,-7.308,0,0.17600000000000002,0.29100000000000004,0.0,0.115,0.545,157.201,320731,4,0
Đen and Linh Cáo,Đưa Nhau Đi Trốn - Live At Show Của Đen,6fH70e3UxJFNmLApdijeGa,spotify:track:6fH70e3UxJFNmLApdijeGa,https://api.spotify.com/v1/tracks/6fH70e3UxJFNmLApdijeGa,https://api.spotify.com/v1/audio-analysis/6fH70e3UxJFNmLApdijeGa,44,0.6629999999999999,0.9,0,-6.607,1,0.14,0.315,0.0,0.59,0.393,125.048,265822,4,1
Đen,Anh Đếch Cần Gì Nhiều Ngoài Em - Live At Show Của Đen,6S7unWwOypztbchdoKA5gP,spotify:track:6S7unWwOypztbchdoKA5gP,https://api.spotify.com/v1/tracks/6S7unWwOypztbchdoKA5gP,https://api.spotify.com/v1/audio-analysis/6S7unWwOypztbchdoKA5gP,39,0.374,0.753,7,-6.937,0,0.159,0.235,0.0,0.303,0.499,199.797,246251,3,1
Mer and thaison!,Giấc Mơ Rất Thơ,0xMIMrT7Vmwsejznw8LJAE,spotify:track:0xMIMrT7Vmwsejznw8LJAE,https://api.spotify.com/v1/tracks/0xMIMrT7Vmwsejznw8LJAE,https://api.spotify.com/v1/audio-analysis/0xMIMrT7Vmwsejznw8LJAE,46,0.745,0.57,4,-9.121,1,0.218,0.654,0.0028399999999999996,0.11900000000000001,0.293,170.09900000000002,172993,4,0
Quang Linh,Ca Dao Em Và Tôi,6CHJ3a1nCp9mx7D9i5KlGA,spotify:track:6CHJ3a1nCp9mx7D9i5KlGA,https://api.spotify.com/v1/tracks/6CHJ3a1nCp9mx7D9i5KlGA,https://api.spotify.com/v1/audio-analysis/6CHJ3a1nCp9mx7D9i5KlGA,2,0.5770000000000001,0.39799999999999996,3,-12.552999999999999,0,0.0313,0.0614,2.2100000000000002e-05,0.0869,0.7659999999999999,132.543,380447,4,0
AMEE and Hoang Dung,nàng thơ... trời giấu trời mang đi,1PSmJr2mHzDjYXrKvQPKb0,spotify:track:1PSmJr2mHzDjYXrKvQPKb0,https://api.spotify.com/v1/tracks/1PSmJr2mHzDjYXrKvQPKb0,https://api.spotify.com/v1/audio-analysis/1PSmJr2mHzDjYXrKvQPKb0,48,0.46299999999999997,0.306,8,-11.814,0,0.0421,0.883,0.0,0.113,0.301,92.82700000000001,262151,4,0
Đen and Kaang,Mưa Trên Những Mái Tôn,2amqqr1qK2pAX2dFslerrn,spotify:track:2amqqr1qK2pAX2dFslerrn,https://api.spotify.com/v1/tracks/2amqqr1qK2pAX2dFslerrn,https://api.spotify.com/v1/audio-analysis/2amqqr1qK2pAX2dFslerrn,40,0.726,0.8009999999999999,6,-4.644,1,0.13,0.338,0.0,0.092,0.358,123.97,186208,4,1
1 9 6 7 and Orange and Hoàng Dũng,Khi Em Lớn - Lo-fi Ver by 1 9 6 7,2kjPw7CcZwXHKkHiKVom6s,spotify:track:2kjPw7CcZwXHKkHiKVom6s,https://api.spotify.com/v1/tracks/2kjPw7CcZwXHKkHiKVom6s,https://api.spotify.com/v1/audio-analysis/2kjPw7CcZwXHKkHiKVom6s,3,0.608,0.47100000000000003,7,-5.709,0,0.0351,0.736,0.000614,0.389,0.0552,119.904,230060,4,0
RAP VIỆT and Yuno Bigboi,Gu Của Anh Là Châu Á (feat. Yuno Bigboi),1Kw6A6tQnEI82QVSdWL2ev,spotify:track:1Kw6A6tQnEI82QVSdWL2ev,https://api.spotify.com/v1/tracks/1Kw6A6tQnEI82QVSdWL2ev,https://api.spotify.com/v1/audio-analysis/1Kw6A6tQnEI82QVSdWL2ev,31,0.727,0.863,9,-3.7680000000000002,0,0.267,0.128,0.0,0.12,0.7120000000000001,160.274,180000,4,0
Hong Nhung,Ru Tình,4aicQyctowDmaokDqrmgXd,spotify:track:4aicQyctowDmaokDqrmgXd,https://api.spotify.com/v1/tracks/4aicQyctowDmaokDqrmgXd,https://api.spotify.com/v1/audio-analysis/4aicQyctowDmaokDqrmgXd,0,0.595,0.131,2,-17.12,0,0.0324,0.795,0.000546,0.32,0.205,122.10600000000001,371096,4,0
Đen,Mơ - Live At Show Của Đen,7HYT9fyOhJBpuev4OdicNK,spotify:track:7HYT9fyOhJBpuev4OdicNK,https://api.spotify.com/v1/tracks/7HYT9fyOhJBpuev4OdicNK,https://api.spotify.com/v1/audio-analysis/7HYT9fyOhJBpuev4OdicNK,40,0.421,0.835,9,-5.199,1,0.105,0.122,0.0,0.5870000000000001,0.236,172.088,233429,4,1
Kha,H In My Arms,0yEIvBtPsxh7K7VHC2b7vT,spotify:track:0yEIvBtPsxh7K7VHC2b7vT,https://api.spotify.com/v1/tracks/0yEIvBtPsxh7K7VHC2b7vT,https://api.spotify.com/v1/audio-analysis/0yEIvBtPsxh7K7VHC2b7vT,46,0.8690000000000001,0.428,8,-6.811,1,0.0459,0.609,0.000212,0.182,0.5489999999999999,139.998,192857,4,0
Hoang Ton,Only U,20aPo7bf0IrwfZvBXDHsnh,spotify:track:20aPo7bf0IrwfZvBXDHsnh,https://api.spotify.com/v1/tracks/20aPo7bf0IrwfZvBXDHsnh,https://api.spotify.com/v1/audio-analysis/20aPo7bf0IrwfZvBXDHsnh,9,0.6859999999999999,0.534,2,-5.712000000000001,1,0.0298,0.11900000000000001,0.0,0.304,0.17,120.12100000000001,206000,4,0
Duy Manh,Lời Sám Hối Của Kẻ Hấp Hối,5ZHfu3y6VzX0DnqybaYh7s,spotify:track:5ZHfu3y6VzX0DnqybaYh7s,https://api.spotify.com/v1/tracks/5ZHfu3y6VzX0DnqybaYh7s,https://api.spotify.com/v1/audio-analysis/5ZHfu3y6VzX0DnqybaYh7s,14,0.5529999999999999,0.297,4,-12.209000000000001,0,0.0279,0.677,0.0,0.0816,0.37200000000000005,89.90299999999999,325440,4,0
Ngô Kiến Huy and Masew,Truyen Thai Y (feat. Masew),70SyyW2Z1A5UNY3g8bPo5I,spotify:track:70SyyW2Z1A5UNY3g8bPo5I,https://api.spotify.com/v1/tracks/70SyyW2Z1A5UNY3g8bPo5I,https://api.spotify.com/v1/audio-analysis/70SyyW2Z1A5UNY3g8bPo5I,41,0.872,0.745,8,-4.732,0,0.0429,0.5379999999999999,0.000859,0.0757,0.667,122.054,181014,4,0
Thanh Hưng,Sai Người Sai Thời Điểm,7KpimnB2fw1ixHWBwZL4hw,spotify:track:7KpimnB2fw1ixHWBwZL4hw,https://api.spotify.com/v1/tracks/7KpimnB2fw1ixHWBwZL4hw,https://api.spotify.com/v1/audio-analysis/7KpimnB2fw1ixHWBwZL4hw,36,0.402,0.38299999999999995,7,-10.037,1,0.0295,0.879,0.0,0.075,0.342,135.014,370024,4,0
Đan Trường,Yêu Em Trong Mơ,0BLxdYPZL79iwjCXhPvnJf,spotify:track:0BLxdYPZL79iwjCXhPvnJf,https://api.spotify.com/v1/tracks/0BLxdYPZL79iwjCXhPvnJf,https://api.spotify.com/v1/audio-analysis/0BLxdYPZL79iwjCXhPvnJf,0,0.7240000000000001,0.32299999999999995,2,-12.923,0,0.0345,0.299,7.26e-06,0.168,0.105,136.059,262008,4,0
