artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
AMEE and Karik,Em Bé,4RZJObXQzsKQLd25LBjBG8,spotify:track:4RZJObXQzsKQLd25LBjBG8,https://api.spotify.com/v1/tracks/4RZJObXQzsKQLd25LBjBG8,https://api.spotify.com/v1/audio-analysis/4RZJObXQzsKQLd25LBjBG8,51,0.923,0.601,2,-4.692,1,0.0726,0.0644,0.000253,0.0508,0.7759999999999999,129.944,192000,4
Đan Trường,Dòng Sông Xưa,286vgRt99KvqNBDO5cbaBk,spotify:track:286vgRt99KvqNBDO5cbaBk,https://api.spotify.com/v1/tracks/286vgRt99KvqNBDO5cbaBk,https://api.spotify.com/v1/audio-analysis/286vgRt99KvqNBDO5cbaBk,0,0.657,0.5529999999999999,6,-10.317,1,0.0554,0.149,0.0,0.106,0.449,124.057,269427,4
WEAN and Aki,Alone,5gUOQs9CMpueBkmHYeX0uJ,spotify:track:5gUOQs9CMpueBkmHYeX0uJ,https://api.spotify.com/v1/tracks/5gUOQs9CMpueBkmHYeX0uJ,https://api.spotify.com/v1/audio-analysis/5gUOQs9CMpueBkmHYeX0uJ,0,0.78,0.73,0,-6.343,1,0.125,0.0152,0.0,0.105,0.621,130.925,242362,4
Bich Phuong,Sau Trong Em,1XgweHdqnVPxc4PYSYkbd0,spotify:track:1XgweHdqnVPxc4PYSYkbd0,https://api.spotify.com/v1/tracks/1XgweHdqnVPxc4PYSYkbd0,https://api.spotify.com/v1/audio-analysis/1XgweHdqnVPxc4PYSYkbd0,0,0.6659999999999999,0.63,4,-4.472,0,0.0305,0.569,0.0,0.0571,0.396,99.995,237637,4
Ha Okio,Nơi Ấy,65P1VBL5zccL2QUP07CokG,spotify:track:65P1VBL5zccL2QUP07CokG,https://api.spotify.com/v1/tracks/65P1VBL5zccL2QUP07CokG,https://api.spotify.com/v1/audio-analysis/65P1VBL5zccL2QUP07CokG,19,0.248,0.459,11,-7.923999999999999,1,0.0338,0.8140000000000001,0.0,0.129,0.348,68.183,301166,4
Đan Trường,Đêm Hoang Vu,4L6BVYqePZ5KiTgYZ7xn3X,spotify:track:4L6BVYqePZ5KiTgYZ7xn3X,https://api.spotify.com/v1/tracks/4L6BVYqePZ5KiTgYZ7xn3X,https://api.spotify.com/v1/audio-analysis/4L6BVYqePZ5KiTgYZ7xn3X,0,0.519,0.5670000000000001,11,-5.472,0,0.0384,0.316,0.0,0.112,0.21600000000000005,129.94299999999998,369215,4
Mỹ Tâm,Tình Như Ngọn Nến,65Rx2xEYPzsX4OhxNxseEn,spotify:track:65Rx2xEYPzsX4OhxNxseEn,https://api.spotify.com/v1/tracks/65Rx2xEYPzsX4OhxNxseEn,https://api.spotify.com/v1/audio-analysis/65Rx2xEYPzsX4OhxNxseEn,0,0.535,0.359,2,-13.583,0,0.0292,0.581,0.0,0.313,0.373,180.478,313652,4
Wanbi Tuan Anh and Thùy Chi,Cho Em,3mdBzyYQD0JclZLGjUzRPR,spotify:track:3mdBzyYQD0JclZLGjUzRPR,https://api.spotify.com/v1/tracks/3mdBzyYQD0JclZLGjUzRPR,https://api.spotify.com/v1/audio-analysis/3mdBzyYQD0JclZLGjUzRPR,14,0.456,0.36,11,-9.17,1,0.029,0.952,0.000169,0.14300000000000002,0.436,143.865,284839,4
Noo Phước Thịnh,Chỉ Là Giấc Mơ,0wK96i3PazmdqmRZ3wWKrn,spotify:track:0wK96i3PazmdqmRZ3wWKrn,https://api.spotify.com/v1/tracks/0wK96i3PazmdqmRZ3wWKrn,https://api.spotify.com/v1/audio-analysis/0wK96i3PazmdqmRZ3wWKrn,0,0.741,0.831,6,-5.582000000000002,0,0.0331,0.0748,0.000192,0.274,0.959,130.001,253627,4
Văn Mai Hương,Mai Đây Em Thương Một Chàng Trai,4PdsLeaQ88F0XWO3v5Ch3x,spotify:track:4PdsLeaQ88F0XWO3v5Ch3x,https://api.spotify.com/v1/tracks/4PdsLeaQ88F0XWO3v5Ch3x,https://api.spotify.com/v1/audio-analysis/4PdsLeaQ88F0XWO3v5Ch3x,31,0.32,0.267,8,-8.818999999999997,1,0.0358,0.926,0.00028900000000000003,0.0805,0.332,83.977,251000,4
Pham Truong,Nợ,3WclkQMwCip5i8adU0moEa,spotify:track:3WclkQMwCip5i8adU0moEa,https://api.spotify.com/v1/tracks/3WclkQMwCip5i8adU0moEa,https://api.spotify.com/v1/audio-analysis/3WclkQMwCip5i8adU0moEa,17,0.649,0.7490000000000001,11,-7.593,0,0.0307,0.39,0.0,0.107,0.8440000000000001,117.034,308898,4
OSAD VRT,Nguoi Am Phu - Original,04JBEwGP94fWL7nbcrO0F2,spotify:track:04JBEwGP94fWL7nbcrO0F2,https://api.spotify.com/v1/tracks/04JBEwGP94fWL7nbcrO0F2,https://api.spotify.com/v1/audio-analysis/04JBEwGP94fWL7nbcrO0F2,5,0.687,0.6559999999999999,1,-6.987,1,0.0333,0.0451,0.000843,0.29,0.388,120.074,130558,4
Nguyen Huong Ly,Hạnh Phúc Bỏ Rơi Em,22m5b85ytfrP2rwBOOxSlp,spotify:track:22m5b85ytfrP2rwBOOxSlp,https://api.spotify.com/v1/tracks/22m5b85ytfrP2rwBOOxSlp,https://api.spotify.com/v1/audio-analysis/22m5b85ytfrP2rwBOOxSlp,20,0.608,0.4270000000000001,7,-8.401,1,0.0338,0.858,0.0,0.11,0.32299999999999995,127.863,342378,4
Lam Truong,Dấu vết bình yên,19JcjHmNeQt4oC1Ao3xCBi,spotify:track:19JcjHmNeQt4oC1Ao3xCBi,https://api.spotify.com/v1/tracks/19JcjHmNeQt4oC1Ao3xCBi,https://api.spotify.com/v1/audio-analysis/19JcjHmNeQt4oC1Ao3xCBi,4,0.5710000000000001,0.7,2,-5.375,0,0.0394,0.439,0.0,0.289,0.404,126.044,240200,4
Đen and Ngọc Linh,Mười Năm - Live At Show Của Đen,2H5XRciniz2nQ0jhaZJcd9,spotify:track:2H5XRciniz2nQ0jhaZJcd9,https://api.spotify.com/v1/tracks/2H5XRciniz2nQ0jhaZJcd9,https://api.spotify.com/v1/audio-analysis/2H5XRciniz2nQ0jhaZJcd9,42,0.617,0.904,1,-6.2970000000000015,0,0.163,0.196,0.0,0.151,0.328,90.0,285060,4
Đàm Vĩnh Hưng,Tình Yêu Còn Đâu,5h8EBLx5tEzNfBhLVHCaME,spotify:track:5h8EBLx5tEzNfBhLVHCaME,https://api.spotify.com/v1/tracks/5h8EBLx5tEzNfBhLVHCaME,https://api.spotify.com/v1/audio-analysis/5h8EBLx5tEzNfBhLVHCaME,19,0.693,0.908,3,-7.496,0,0.0371,0.0232,0.0021,0.531,0.858,139.99,262757,4
Cao Thai Son,Chạm Tay Vào Điều Ước,58JTwyTnjcEKAv9xNw3CNr,spotify:track:58JTwyTnjcEKAv9xNw3CNr,https://api.spotify.com/v1/tracks/58JTwyTnjcEKAv9xNw3CNr,https://api.spotify.com/v1/audio-analysis/58JTwyTnjcEKAv9xNw3CNr,3,0.608,0.442,7,-4.168,0,0.0267,0.768,0.0,0.213,0.27,136.20600000000002,273693,4
Đan Trường,Bước Chân Lẻ Loi,4vNUnufRWDT0mk8wajv1fP,spotify:track:4vNUnufRWDT0mk8wajv1fP,https://api.spotify.com/v1/tracks/4vNUnufRWDT0mk8wajv1fP,https://api.spotify.com/v1/audio-analysis/4vNUnufRWDT0mk8wajv1fP,7,0.648,0.383,2,-13.207,0,0.0344,0.138,1.19e-05,0.185,0.27,120.055,278779,3
Huy Vũ,Yêu trong mộng mơ,1aiHDrsJNvqzAGXhPM2zpS,spotify:track:1aiHDrsJNvqzAGXhPM2zpS,https://api.spotify.com/v1/tracks/1aiHDrsJNvqzAGXhPM2zpS,https://api.spotify.com/v1/audio-analysis/1aiHDrsJNvqzAGXhPM2zpS,3,0.5720000000000001,0.528,3,-7.928,0,0.0415,0.391,0.000129,0.0561,0.179,136.12,264853,4
Trịnh Nam Sơn,Nếu biết xa em,4eFS0XtppcCPMjj6lxKbSt,spotify:track:4eFS0XtppcCPMjj6lxKbSt,https://api.spotify.com/v1/tracks/4eFS0XtppcCPMjj6lxKbSt,https://api.spotify.com/v1/audio-analysis/4eFS0XtppcCPMjj6lxKbSt,10,0.556,0.425,4,-12.887,0,0.0323,0.45,5.81e-06,0.102,0.4370000000000001,78.054,231573,4
